R,nodes,dimension,beta,epsilon,delta_frac,adv_std_dev,honest_distribution,iteration,f_approx,f_event,f_central,abs_error_approx,abs_error_event,comm_overhead_approx,comm_overhead_event,comm_overhead_central,storage_approx,storage_event,storage_central,power_tx_approx,power_tx_event,power_tx_central,avg_energy_per_node_approx,avg_energy_per_node_event,avg_energy_per_node_central,lifetime_rounds_approx,lifetime_rounds_event,lifetime_rounds_central,threshold,f_approx_exceeds_threshold,f_event_exceeds_threshold,f_central_untrimmed_mean,abs_error_untrimmed
1000,50,10,0.1,0.1,0.1,1.0,correlated_gaussian,0,48.50162298457834,48.50162298457834,47.93504172015405,0.5665812644242934,0.5665812644242934,100032,48000,116160,960.0,960.0,960.0,2711.368973648854,1301.040774303673,3148.518673814889,54.22737947297709,26.02081548607346,62.97037347629778,0.1844086898018603,0.3843077095470769,0.1588048386558168,50.0,False,False,45.43921568627451,2.4958260338795384
1000,50,10,0.1,0.1,0.1,1.0,correlated_gaussian,1,48.97617272289792,48.50162298457834,48.09804878048781,0.878123942410113,0.4035742040905319,98976,0,116448,960.0,960.0,960.0,2682.7460766141735,0.0,3156.3249184607107,53.65492153228347,0.0,63.12649836921421,0.1863761927968365,inf,0.1584120814291331,50.0,False,False,45.72352941176471,2.374519368723099
1000,50,10,0.1,0.1,0.1,1.0,correlated_gaussian,2,48.03881389189777,48.50162298457834,47.375347091932454,0.6634667999653132,1.1262758926458858,99744,0,117120,960.0,960.0,960.0,2703.5627290030325,0.0,3174.5394893009625,54.071254580060646,0.0,63.49078978601925,0.1849411499264085,inf,0.1575031596504413,50.0,False,False,45.233333333333334,2.14201375859912
1000,50,10,0.1,0.1,0.1,1.0,correlated_gaussian,3,47.40002901436516,48.50162298457834,47.21645872420264,0.1835702901625211,1.2851642603757014,99360,0,116928,960.0,960.0,960.0,2693.1544028086023,0.0,3169.335326203747,53.863088056172046,0.0,63.386706524074945,0.1856558983319212,inf,0.1577617855283567,50.0,False,False,45.1529411764706,2.06351754773204
1000,50,10,0.1,0.1,0.1,1.0,correlated_gaussian,4,47.9292123130809,48.50162298457834,47.40865853658536,0.5205537764955395,1.0929644479929763,98880,0,117696,960.0,960.0,960.0,2680.143995065566,0.0,3190.151978592606,53.60287990131132,0.0,63.803039571852125,0.1865571405568334,inf,0.156732344839754,50.0,False,False,45.40392156862745,2.0047369679579106
1000,50,10,0.1,0.2,0.1,1.0,correlated_gaussian,0,47.48735649759663,47.48735649759663,47.93504172015405,0.4476852225574177,0.4476852225574177,92640,48000,116160,960.0,960.0,960.0,2511.0086944060895,1301.040774303673,3148.518673814889,50.22017388812179,26.02081548607346,62.97037347629778,0.1991231655684335,0.3843077095470769,0.1588048386558168,50.0,False,False,45.43921568627451,2.4958260338795384
1000,50,10,0.1,0.2,0.1,1.0,correlated_gaussian,1,47.77753849341275,47.48735649759663,48.09804878048781,0.3205102870750522,0.6106922828911792,93216,0,116448,960.0,960.0,960.0,2526.6211836977327,0.0,3156.3249184607107,50.53242367395465,0.0,63.12649836921421,0.1978927443599778,inf,0.1584120814291331,50.0,False,False,45.72352941176471,2.374519368723099
1000,50,10,0.1,0.2,0.1,1.0,correlated_gaussian,2,47.34808737474191,47.48735649759663,47.375347091932454,0.0272597171905459,0.1120094056641747,93312,0,117120,960.0,960.0,960.0,2529.223265246339,0.0,3174.5394893009625,50.58446530492678,0.0,63.49078978601925,0.1976891510015828,inf,0.1575031596504413,50.0,False,False,45.233333333333334,2.14201375859912
1000,50,10,0.1,0.2,0.1,1.0,correlated_gaussian,3,47.17282669330112,47.48735649759663,47.21645872420264,0.0436320309015201,0.2708977733939903,93792,0,116928,960.0,960.0,960.0,2542.233672989377,0.0,3169.335326203747,50.844673459787536,0.0,63.386706524074945,0.1966774357968664,inf,0.1577617855283567,50.0,False,False,45.1529411764706,2.06351754773204
1000,50,10,0.1,0.2,0.1,1.0,correlated_gaussian,4,46.61452494736176,47.48735649759663,47.40865853658536,0.7941335892236054,0.0786979610112652,92448,0,117696,960.0,960.0,960.0,2505.804531308874,0.0,3190.151978592606,50.11609062617748,0.0,63.803039571852125,0.199536713160476,inf,0.156732344839754,50.0,False,False,45.40392156862745,2.0047369679579106
1000,50,10,0.1,0.3,0.1,1.0,correlated_gaussian,0,47.765344518606504,47.765344518606504,47.93504172015405,0.1696972015475424,0.1696972015475424,86016,48000,116160,960.0,960.0,960.0,2331.4650675521825,1301.040774303673,3148.518673814889,46.62930135104365,26.02081548607346,62.97037347629778,0.2144574272026098,0.3843077095470769,0.1588048386558168,50.0,False,False,45.43921568627451,2.4958260338795384
1000,50,10,0.1,0.3,0.1,1.0,correlated_gaussian,1,47.66932593176294,47.765344518606504,48.09804878048781,0.4287228487248669,0.3327042618813038,86112,0,116448,960.0,960.0,960.0,2334.0671491007884,0.0,3156.3249184607107,46.68134298201576,0.0,63.12649836921421,0.2142183442291399,inf,0.1584120814291331,50.0,False,False,45.72352941176471,2.374519368723099
1000,50,10,0.1,0.3,0.1,1.0,correlated_gaussian,2,46.813385362167935,47.765344518606504,47.375347091932454,0.5619617297645192,0.38999742667405,86688,0,117120,960.0,960.0,960.0,2349.679638392433,0.0,3174.5394893009625,46.99359276784866,0.0,63.49078978601925,0.2127949665266207,inf,0.1575031596504413,50.0,False,False,45.233333333333334,2.14201375859912
